original,gentle,playful,bold,id,scenario
"Honestly, They make the best coffee here",They do make great coffee... almost as good as the company right now,"Best coffee in town, second best thing about being here right now","Great coffee, but I'm more interested in getting your number than my caffeine fix",flirt_0287,public place
"Hey, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0288,dining experience
"So, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0289,evening out
"Actually, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0290,planned encounter
"Oh, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0291,shared activity
"Well, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0292,evening out
"Um, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0293,recreational setting
"Honestly, What's good here?","Everything's good, but the view just got better since you walked in","Well, the coffee's great, but you're definitely the sweetest thing here",You tell me - are you on the menu?,flirt_0294,special occasion
"Hey, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0295,recreational setting
"So, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0296,cultural venue
"Actually, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0297,casual conversation
"Oh, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0298,everyday moment
"Well, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0299,casual environment
"Um, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0300,entertainment venue
"Honestly, Excuse me","Excuse me, I just had to come tell you how radiant you look","Excuse me, is your name Google? Because you're everything I've been searching for","Excuse me, but I think you dropped something... my jaw",flirt_0301,learning environment
"Hey, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0302,special occasion
"So, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0303,everyday moment
"Actually, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0304,casual conversation
"Oh, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0305,everyday moment
"Well, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0306,recreational setting
"Um, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0307,dining experience
"Honestly, Can I get your WiFi password?","Can I get the WiFi password? And maybe yours too, if I'm lucky",WiFi password? How about we connect in real life instead,Forget WiFi - I want a direct connection to you,flirt_0308,daytime interaction
"Hey, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0309,recreational setting
"So, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0310,shopping area
"Actually, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0311,relaxed atmosphere
"Oh, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0312,transportation
"Well, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0313,social gathering
"Um, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0314,private moment
"Honestly, This place is packed","It's so crowded, but somehow you're the only person I noticed",So packed! Good thing there's still room for two hearts to connect,Packed in here... want to go somewhere we can have some privacy?,flirt_0315,waiting situation
"Hey, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0316,planned encounter
"So, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0317,learning environment
"Actually, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0318,special occasion
"Oh, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0319,transportation
"Well, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0320,group setting
"Um, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0321,recreational setting
"Honestly, Do you come here often?",I don't usually see anyone who catches my eye like this... do you come here often?,"Do you come here often? Because if you say yes, I'm getting a membership immediately",Do you come here often? Because I'm about to start coming here every day at this exact time,flirt_0322,day activity
"Hey, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0323,social event
"So, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0324,shared activity
"Actually, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0325,public place
"Oh, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0326,night scene
"Well, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0327,relaxed atmosphere
"Um, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0328,friendly encounter
"Honestly, Great workout!",Great workout! You make it look so effortless and graceful,"Great workout! I was going to work out too, but watching you was way more interesting",Great workout! Want to grab a protein shake? Or skip straight to dinner?,flirt_0329,recreational setting
"Hey, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0330,recreational setting
"So, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0331,social event
"Actually, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0332,planned encounter
"Oh, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0333,public place
"Well, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0334,social event
"Um, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0335,friendly encounter
"Honestly, Is this machine free?",Is this machine free? I promise I won't distract you... much,Is this machine free? Fair warning: I might spend more time admiring your form than working out,"Is this machine free? Perfect, now I have an excuse to be near you",flirt_0336,chance meeting
"Hey, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0337,one-on-one
"So, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0338,spontaneous meeting
"Actually, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0339,special occasion
"Oh, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0340,professional context
"Well, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0341,daytime interaction
"Um, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0342,learning environment
"Honestly, Can you spot me?",Could you spot me? I trust someone with your expertise... and those eyes,Can you spot me? I promise to return the favor... maybe over drinks later?,"Can you spot me? I'm already falling for you, might as well make it literal",flirt_0343,shared activity
"Hey, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0344,shopping area
"So, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0345,dining experience
"Actually, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0346,community space
"Oh, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0347,quiet moment
"Well, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0348,fitness activity
"Um, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0349,group setting
"Honestly, Nice form",You have perfect form... and I'm not just talking about your workout,Nice form! Are you a trainer? Because you're definitely training my heart rate right now,Perfect form... want to show me more over dinner?,flirt_0350,fitness activity
"Hey, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0351,intimate setting
"So, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0352,intimate setting
"Actually, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0353,entertainment venue
"Oh, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0354,waiting situation
"Well, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0355,recreational setting
"Um, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0356,outdoor setting
"Honestly, How many sets left?","How many sets left? No rush, I enjoy the view",Sets left? However many it takes for you to notice me staring,Sets left? Just one more - the set of digits I need from you,flirt_0357,special occasion
"Hey, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0358,public place
"So, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0359,private moment
"Actually, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0360,intimate setting
"Oh, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0361,energetic environment
"Well, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0362,community space
"Um, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0363,travel situation
"Honestly, Need help with that weight?",Need help? I'd be honored to assist someone so dedicated,"Need help? Sure, but I think you've already lifted my spirits","Need help? Yeah, help me get your number",flirt_0364,fitness activity
"Hey, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0365,casual environment
"So, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0366,recreational setting
"Actually, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0367,day activity
"Oh, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0368,cultural venue
"Well, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0369,evening out
"Um, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0370,planned encounter
"Honestly, What's your routine?",What's your routine? Besides making everyone here stop and stare,Your routine? Step 1: Look amazing. Step 2: Drive everyone crazy. What's step 3?,Your routine? I want to be part of it,flirt_0371,group setting
"Hey, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0372,special occasion
"So, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0373,public place
"Actually, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0374,waiting situation
"Oh, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0375,evening out
"Well, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0376,shopping area
"Um, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0377,day activity
"Honestly, Good music today","Good music today, but you're the real rhythm that caught my attention",Good music! Want to dance? I know this isn't a club but I'm flexible,"Good music, but I'd rather listen to your voice over dinner",flirt_0378,social event
"Hey, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0379,learning environment
"So, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0380,learning environment
"Actually, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0381,intimate setting
"Oh, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0382,celebration
"Well, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0383,formal setting
"Um, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0384,friendly encounter
"Honestly, Busy gym today","Busy gym, but I only have eyes for one person","So busy! Lucky for me, all roads led to meeting you",Busy gym... let's go somewhere quieter after this,flirt_0385,outdoor setting
"Hey, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0386,social gathering
"So, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0387,outdoor setting
"Actually, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0388,day activity
"Oh, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0389,friendly encounter
"Well, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0390,one-on-one
"Um, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0391,public place
"Honestly, What are you drinking?",What are you drinking? It looks almost as interesting as you,What are you drinking? I need to know what gives someone that much confidence and charm,What are you drinking? Because I'd like to buy you another one,flirt_0392,evening out
"Hey, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0393,waiting situation
"So, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0394,public place
"Actually, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0395,everyday moment
"Oh, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0396,shared activity
"Well, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0397,daytime interaction
"Um, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0398,daytime interaction
"Honestly, Cheers!",Cheers! To unexpected encounters with beautiful strangers,Cheers! To me finally working up the liquid courage to talk to you,Cheers! To this being the start of something amazing,flirt_0399,transportation
"Hey, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0400,recreational setting
"So, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0401,friendly encounter
"Actually, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0402,quiet moment
"Oh, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0403,private moment
"Well, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0404,casual environment
"Um, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0405,social event
"Honestly, Great music tonight",Great music... makes me want to ask you to dance,Great music! Almost as good as the view from where I'm standing,"Great music, but I'd rather hear your number",flirt_0406,entertainment venue
"Hey, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0407,day activity
"So, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0408,travel situation
"Actually, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0409,professional context
"Oh, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0410,daytime interaction
"Well, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0411,daytime interaction
"Um, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0412,professional context
"Honestly, Crowded in here","It's crowded, but somehow you're the only person I noticed",So crowded! Good thing I don't mind getting closer to you,Crowded in here... want to go somewhere we can actually talk? And flirt properly?,flirt_0413,intimate setting
"Hey, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0414,crowded place
"So, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0415,outdoor setting
"Actually, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0416,community space
"Oh, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0417,casual environment
"Well, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0418,shopping area
"Um, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0419,professional context
"Honestly, Can I buy you a drink?",Can I buy you a drink? You look like someone with excellent taste,Can I buy you a drink? Fair warning: it comes with charming conversation,Can I buy you a drink? And maybe breakfast tomorrow?,flirt_0420,friendly encounter
"Hey, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0421,dining experience
"So, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0422,public interaction
"Actually, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0423,one-on-one
"Oh, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0424,casual environment
"Well, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0425,relaxed atmosphere
"Um, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0426,evening out
"Honestly, Dance with me?",Would you like to dance? I promise I won't step on your toes... much,"Dance with me? I should warn you, I have two left feet but incredible charm",Dance with me. That wasn't a question,flirt_0427,crowded place
"Hey, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0428,group setting
"So, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0429,night scene
"Actually, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0430,casual environment
"Oh, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0431,quiet moment
"Well, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0432,travel situation
"Um, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0433,group setting
"Honestly, This song is great",This song is perfect... almost as perfect as this moment,Great song! It's like the DJ knew I was about to meet someone amazing,Great song for making out to... just saying,flirt_0434,waiting situation
"Hey, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0435,travel situation
"So, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0436,community space
"Actually, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0437,special occasion
"Oh, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0438,learning environment
"Well, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0439,chance meeting
"Um, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0440,energetic environment
"Honestly, Having fun?","Having fun? Your smile is absolutely contagious, by the way",Having fun? Because this night just got 100% better since you arrived,Having fun? Want to have more fun? I have some ideas...,flirt_0441,social gathering
"Hey, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0442,everyday moment
"So, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0443,chance meeting
"Actually, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0444,public place
