label,texts
1,A woman of culture
1,Going to pin you down and slide it inside you while you moan and wiggle around
0,"Okay, so I've won you over. Now it's your turn. Tell me about yourself"
1,Hmmm guess my favorite drunk food and I’ll guess yours haha
0,"ah k, i don't really know any train lines well haha"
0,have you guys put anything out yet
1,"oh fuck that's big, I love that"
0,nice which one?
0,yeah i'm doing vcess right now
0,Now should I put you down for a watermelon loko or do you prefer green apple?
0,yeah there are a lot of thursday nights around melbourne
0,Hmmm watermelon is a good first one
0,favourite record?
1,Damn
0,Well choose your flavors for ocho loko we’ll repeat that
1,I just did 😍
0,I’ll drink whatever but I def don’t mind a mixed drink. I enjoy drinking games a lot lol
1,i have a epi dot 🎸 but i'm terrible. i prefer my little uke
0,biomed at melbourne now i think
0,what kind of music do they play
0,And “I” by Lil Skies on repeat
0,Wtf ur shotgunning the loko then
0,"i am actually presently not drinking, however i do attend alcohol fuelled events and watch my friends get really drunk"
1,as im licking your clit
0,i think they'd give you morphine then
1,How about a pickup lime
1,Amazing. Fucking amazing you pervo we’re pervos!!!!
0,UMI I’m about it
1,Mhm.. ;)
0,Ugh that’s an L you’ll have to go extra hard after quarantine to make up for it
1,as i keep licking
1, your enthusiasm is contagious its so inspiring 
1,"I can feel my own pussy heat, so hot on my hand."
1,Yes to both
1,I will wait.
1,Can I come over and keep you warm and dry?
0,"nice, are you graduating or something?"
0,Phew at least you didn’t have to use up the daily super like 😅
0,"yeah it's good fun, lots of fun activities and things"
0,no...dogs r the best
1,Watching the chargers game. Come be a party of the carnage. Orale!
0,Damn I didn’t watch the right episodes then lol
1,You know what!
1,LMAO this is mine don’t make fun of the picture 😂
1,👀
1,If you are lucky we can side hug before marriage
1,Nice and light around the pink. Softly exploratory fingers too.
1,Mmm..
1,About*
0,You ever do some crazy shit while drunk
0,I love making spaghetti
1,See told u it was my twin
1,OK IT IS IN! Holy shit I have all 9 inches in my ass for you!
1,I even goty phone stolen 🙁
0,Need to get a new job i feel like
0,He’s perpetually 13
0,Aw :( it’s beautiful just how it is Lilyana
1,You are pretty
0,you realise snapchat keeps all your photos right? i don't recommend doing weird shit on snapchat
1,I'm thinking about you bending me over like that though. Is that really being a tease?
0,I get sushi 1-2x a week at Ku lol
0,USA
1,Snap?
0,Hey Deej 👋
1,style   your fashion sense is impeccable it matches your stunning personality 
0,"nah i have a dog, a great big golden retriever"
0,"and yes i am, although now i'm doing a pathology major"
1,I'll be dreaming about you all night long.
1,I wish we could save money together and plan a romantic getaway for the future    
0,Kind of testing the waters haha it’s been a while since I’ve been on so I’m seeing what it’s like. Plus during quarantine it’s really nice to just have a convo
1,haha yep good luck with that
0,"nah, he doesn't look so little"
1,Respectfully from 6 ft away ofc
0,That sounds wonderful! I can relate to the parts about sleep and being tired afterwards. Proof that your brain was utilized for something new!
0,Aw nice! I’m so ready for quarantine to be over and see all my college friends tho
0,Entanglement
1,Mmm.. Fuck I'm hard
0,"nah, he's not blonde"
0,Bet I got the 4 lokos U get the skee ball. Those 8 year olds don’t stand a chance
0,i'm pretty busy with vcess activities and i'm going to royal croquet this weekend
0,I’ll say black as my next guess
1,your humor is one of the things i love most about you its so charming 
1,Aw so cute 🥺
0,"well, i was bitten by a kangaroo once"
1,You’re not wrong 😂 wait lemme send my repeat playlist that could be better
0,Nah we were just together for two years hahahaha
1,Tell me — are you wet?
1,well why don't you speak to him yourself
0,"fair enough
is that 5 of you in your photo"
1,Me: Alright I’ll go first 😉
1,i'm not aiding and abetting the illegal organ trade
0,I wish it was a requirement
0,mmm same i'm from melbourne
1,your energy is magnetic its impossible not to be drawn to you 
0,"How tall are you? Remember, No bs"
1,"The sight I'm seeing is unbelievable, It's beautiful.."
1,So will we conceive in your 2003 subaru or mine
1,your physique is stunning its so attractive 
0,Hey how’s it going haha yesterday I got busy
0,I'm pretty surprised I got it. I was fully prepared to spend like 15 minutes figuring it out haha
0,You need to be saved
0,Honestly haha I’ve been making my friends and fam watch
0,i'm pretty certain i'm an anatomy student
1,Oh dear god I just cam so wonderfully. Thank you.
1,I want to be in you so bad
0,also i'm not keen on being cannabalised
1,I’m no short king but there’s always room for improvement 😉
1,And?
1,Twisting dildo head like screw in asshole entrance.
0,"yeah, i know"
0,Pshhh I haven’t drank in 4 days
1,I’m in California now
0,i see why you haven't written anything in your bio
0,you put it into a bong and smoke it
0,I miss physics
1,I want your big hard dick inside of me
0,Big fax haha he’s just super soothing. Like I want you and Heartbreak anniversary are my faves I think
1,"but op shop vinyls are the best, i've decorated my wall with them :)"
0,I’m always picked first for basketball tho so that’s a plus
1,Your pussy is really wet
1,your voice is like velvet its so soothing and enchanting 
0,omg you need to like explore the supermarket
0,"not much, was dragged to the farmer's market this morning"
1,"i have to go to dinner, have fun at the show"
1,👯👯
0,"how old is he, dear god he's not like 10 or something"
0,A bit different
0,"i've never been, except to see a dog breeder"
0,you actually hunt animals?
1,"No, never haha."
1,"Mhmmmm, sure. Then I take your cock in my mouth ;) mhmmm."
0,what genre is it
0,"indie rock, some indie pop, i listen to anything really"
0,I feel that haha. Do you not like coding at all or are classes just enough for you?
0,"what are you doing in melbourne,"
0,I did haha one year younger lol how is Wazzu?
1,🐻🐻🐻
1,haha what are you doing at uni then?
1,I refuse to kiss before marriage
0,indie rock is the shits
0,so is his songbook
0,haha we got there at 6:30 so didn't have to
1,"oh fuck that's fucking hot, so wet"
1,I'm assuming it's a nice view
1, your sense of adventure is so exhilarating it makes me want to explore the world with you 
1,outside first
1,"I mean you are pretty and I respect you a lot, but that's pretty steep"
1,Talk me through it.
1,Your on fire!
1,"No, I want to play with you first"
1,Just a t shirt;) U must be rather warm though maybe u should get more comfortable ;)
0,well not for students but people who work...
1,I love how wet you get
0,Jay is my middle name so I think it’s destiny
1,You made my heart skip a beat so u better pay my medical bills
1,can I give you a hand darling
1,😸
1,How does that feel?
1,Nice recovery
1,Oh yeah? What did you want to play with?
1,I want to feel your warm mouth on me. Your wet tongue gliding slowly around my clit.....
0,Talk to u tmrw nice talking to u!! Good luck at work tmrw 👋👋
0,i don't hate on people who hunt
1,do   watching you work is like watching a master at their craft its so impressive
1,i was actually really looking forward to having a whack with the mallet
1,trying to concentrate on my work but all I've been doing is daydreaming about having you bent over my desk with your jeans around your ankles
0,I just listened to NIKI for the first time today would recommend
0,or persa
1,"Ha! I have a candle on my nightstand, dare me?"
1,Hi I’m a normal person
0,psych sub-specialty?
0,"for that, neither do i"
0,"your bio says you were reprogrammed by AI? dear god, this is the last time i'm referencing someone's bio."
0,I like the yogurt soju
1,I can indeed my little fucktoy
1,OK I’ve got it.
0,Oh ofc ofc or I’ll grab from the top shelf and you get the chase
1,was it? 🌞
0,haha it tastes good
0,i'm tutoring psychology 📝
1,Are you still hiring for this role
0,I too am an athlete - a mathlete
0,i didn't really leave the house today except to walk the doge
1,I'm glad I didn't stop you
0,"she moved for work, ended up on a project that required some relocation to canada i think"
0,"Same as you. Partied a decent amount in high school and early college, then for whatever reason being drunk didnt feel good anymore so that pretty much was it for me.  Was never going out 3 times a week tho haha I would literally die"
0,WHY? i want to stay in melbourne
1,You’re too big.
0,🤢🤮 we agree there
0,Hi
0,/what kind of music do you make
0,there's a chocolate lab?
0,what about your other doges?
0,british mostly
1,Yeah I want to see you bent over in high heels
1,"Fairly well, and I've been naughty sometimes ;)"
0,Damn it be like dat
0,french is overrated
0,LMao phew. Who doesn’t like a lil bit of crazy tho
1,1am isn't really that late
0,My day was pretty boring lol I work full time from home so it was a lot of staring at my computer 😂 getting a run in after was super refreshing tho
1,Goddamn I’m so hot this is so hot you are so hot
0,I was fully kill Naisha LMAO
1,I suppose guessing your personality from your playlist would be the same as guessing mine 😂
0,I liked it in HS so wanted to continue but I am also an Information Systems major so I’m tryna do more of like a marketing analytics type role haha
0,"um, uni? work? dogs? food?"
0,Alright I can fw that haha mine is probs grape tbh which is a bit odd
1,"Me: It’s a good spot, it’s just cold season now. Where you from"
1,"You share a name with my childhood neighbors dog. Like her, you are very cute."
1,"i'm at uni, what's your band's name"
1,I really want to eat you out until you forget why you had any worries in the first place
0,Damn now I feel like I have to bring more what else should I provide?
0,Took so long 😴
0,it's only 10
1,I am so excited to finally have someone who I can brag about this to
1,Your cunt is like candy! Your thighs soft and supple like bubblegum.
1,Any music is welcome to the playlist LMAO
1,"wow that's amazing, thank you"
1,Gawdamn you’re hot. When are you coming up here to visit me again
1,"that's pretty cool, so you're a ballerina? 😸"
0,Ava how is ur life going right now 1-10 hit me w it
0,do you actually like salad that much?
0,Hey how are you
0,Gotta play yourself before you get played
0,i think it was cruisers
0,nice doge
1,See this is why we’re the professional frat 😤 2 steps ahead
1,You from behind
1,"I would much rather spend a quiet evening with you, just the two of us."
1,I wish I could stay in bed with you all day instead of leaving on this trip.
0,"i don't do relationships in semester, if that answers your question"
0,I played that and Stian was vibin with it and asked Siri what song it was and he felt so betrayed
0,my mom makes new doges from the fur she brushes off...
1,I'll be the bad cop
1,i bet i have more participation ribbons
1,Me: Send me a pic in your panties
0,"System is really useless though in my experience, I had a friend who I had to take to psych ward for schizophrenia, they literally just booted him after a week regardless of whether he was ready to leave"
0,Half our apt has small dents from our locks cuz there’s no door stoppers tho big sad
0,Not a pickup line but my dog looks JUST like yours haha
0,"Mine is falling, meet me in the hallway, sign of the times"
0,are you mostly busy with classes or do you have a lot of other stuff?
0,Oh shit should’ve read your bio first
0,wow
0,I feel like permanent stilts would be a pretty popular wish from some short kings hahaha
1,Are you wet?
1,"Yes I want to feel your whole body, It's so smooth, soft, your breasts are incredible.. I want to suck your nipples ;)"
0,"i don't normally go anywhere, i get too busy during semester. a lot of people i know go to seven or ritz"
1,"Yeah. I know how hard the lockdown is in germany. Maybe we could go to a cafe together some day?

Good night ☺️☺️"
1,that's a good idea they're coffin nails
0,Thanks means a lot
0,but they're called dagwood dogs or pluto pups
1,Bet gimme ur snap let’s do this
1,Seattle but with a bunch of ppl u alone?
0,I am the troublemaker but missed it
0,"normal rock is alright too, my current favourite jack white lazaretto"
1,I like that. So u wearing much?
0,Let’s give 12 months
0,Honestly akpsi wins in that regard tiddy milk for everyone
1,"Have you ever been with someone 6' 5""? Or similar height?"
1,right in the middle
1,SAME!
0,Yeah feeling good! What major are you?
1,Oh god I want to fuck you so deeply
0,indie?
0,ha thanks😺
1,hi 😺
0,hipster?
0,"not really charity work, we're paid in sausage sizzles"
1,feel free to add me on instagram
1,Snap ?
1,"You’re pretty cute, I’d definitely hold your hand in public"
1,"Working my way down your collarbone, your breasts."
1,Can you DP?
1,"I am going to cum, but you can close your eyes and let me cum in your mouth"
1,"well you wouldn't believe the arrogance of the ivy leagues, our little group of 8 is a pawn"
1,I'd be forever grateful for your expert guidance and dazzling smile.
1,"  I would love to learn how to cook with you, and maybe we could teach each other a thing or two    "
1,can you come over & eat me out?
1,You. Me. Lots of flowers. And we embrace each other until sunrise
0,? I haven’t changed my photo since downloading
1,"Your really cute Jessica, you're smile is very pretty!"
0,"no, i think the year 7s still go every year...kind of a long running tradition apparently"
0,i got that name like 6 years ago
0,"yeah i like melbourne, but i'm not entirely sure i'd know what to do if i didn't go to uni"
0,cigarzzzz
1,I love the earth. Let’s save water and shower together.
1,pressing harder and harder on your g-spot
0,you can make this clump that looks like another dog?
1,Girl I’ll be the one holding you to things.. like my kitchen counter. My bed. Maybe even a wall or two (but no time to relent.. keep things going and have fun!)
1,I want to spread your legs and eat out your wet pussy
1,"Gawdamn. Wish I had this earlier, I already came thinking about you when I was in the shower (It IS ok to bring this stuff up if you’ve hit that point with a girl)"
0,i have an epiphone
0,haha does that ever end well?
0,I appreciate honesty in the bio
1,God that is so hot
1,Jon is sexy
1,And harder
1,it's so cute and i like the nylon strings
1,It looks like you had a great time this weekend
0,Always one step ahead
0,how's the pet detective thing going?
1,"I don't mind if you set the pace with your hand on my head, either."
0,We close
1,inanimate objects?
0,I see why you might think that
1,Yes sir
1,being around you makes me go crazy
1,Rub harder and harder in circular motion
1,"Will you do that for me, babe?"
0,i'm in 3rd year undergrad science
1,Tonight you will not move from there until I make you come with my mouth
0,YES EXACTLY
0,Hey you dropped this
1,Mmmm.. tell me where you want them.
1,went to uni to do some volunteering 😸
1,Dripping.
0,If we go to chipotle you best expect me to order the Quesarito
1,A 13” difference is no big deal right?
1,XX..
1,And rub your finger on my clit..
0,ahh
0,L
1,i wouldn't try and compete with a vacuum cleaner
1,I wish you could be there to hold my hand and keep me company while I'm getting my teeth cleaned    
1,U made my heart skip a beat
0,i mean i know ballerinas wear those pointe shoes and weird nude bodysuits but i don't think that immediately means homosexual...haha
1, I wish I could bring you with me to meet my grandparents and show you where I come from    
0,It do be like dat
0,my mom used to live in canada
0,If you can figure out a way to hide a horse behind a box that size I'll be very impressed. Are you still at college or have you graduated yet?
1,"Push gently baby, open your asshole for my big dick."
0,Awesome. You're in Boston are I'm guessing?
0,"melbourne IS a small place, i'm having an existential crisis about my major and high five for unemployment"
0,"yes she's alright if you get beyond fancy 😳
life in film is somewhat bloody slow with their releases, some kind of record deal bustup, apparently they're very smiths-y whatever that means"
0,We neighbor the Brits and were also oppressed by them
0,what's your favourite record
1,OMG you better be jerking off.
0,a friend of mine is from nsw but is down here for uni and she misses her GR like crazy
0,Awww cute!! I have 2 shelties at home but I’m living in U district rn
0,lol that never works
1,YES I love these type of profiles haha bonus points for the rainbow numbering
1,I promise
0,haha the swedish also make good food too
1,sliding down your legs. After that I want to gently circle your clit and I won't stop until you tell me to
0,um sorry...?
1,I'm having trouble thinking of a first message. Can you help me out?
0,"CoQ 10 too if I remember correctly. Ironically my migraines ended up being caused by a magnesium supplement I took, and it was months before I found the connection because it didnt make any sense."
0,I have a friend with 2 A’s
0,i don't think i'd fit
0,nice to the mountains
0,Pretty good! I worked all day so pretty boring overall lol but hbu?
0,Pretty well! Quarantine is a bummer but what can u do lol
0,misuse of puppies.
0,Hey odd question but did you go to Mount Si? I feel like you look kinda familiar lol
0,which ones the best then?
1,I really want to suck on your tits. Then fuck you (I save the overt sexuality for when it’s appropriate)
1,What color?
1,I see..
1,I touch your 'tip' with my tongue ;) It's oozing pre cum ;)
0,"i did come across people looking for a threesome, and some BDSM enthusiasts"
0,What are you into besides jeopardy and smash?
0,Damn it do be like dat
1,what are you doing on tinder?
0,You got beer pong I got flip cup let’s run the tables
0,i don't know what the female population of tinder's like but i hear there are a lot of spambots
0,lol no i'm not stupid i know what you're getting at
1,Hey don’t make promises u can’t keep cuz I’ll hold you to it silly boy. Yeah color run was this morning (Phew)
0,"i'm volunteering at uni, teaching disadvantaged vce kids so i was making notes for that"
0,I'm not really an extravert but talking to no one other than my mom does get a bit old
1,🤩👀🤩👀
0,canada's cold
1,Dunno if I can get it all in but I will try.  😉
0,hahaha do people actually think that?
1,🐶
0,🙈🙈🙈🙈🙈
1,You have a talent for making my taste buds dance with joy.
0,"after, i think"
1,So are you flying to me or am I flying to you?
0,did you get that last picture from tumblr
1,Sleep good
0,That’s good to hear! Highkey whenever I see you message me I think exactly what my first message says haha
1,“I’m so fuckin’ hard right now.”
0,"i used to, went to newman for a semester"
0,I like it a lot here! Weather is insanely good (on days when you can breathe without damaging lungs). Other than that I havent really been able to experience much because of the coronavirus and the fact that I am too lazy to do stuff.
1,I would like to know ;) Your so pretty;)
0,What’s tik tok?
1,It’s only fair I get to ride your shoulders sometimes tho
0,Hey McKenna
0,65 year old Noah will be SHREDDIN the waves
1,How much parks and rec is too much?
1,And you'll scream and squirt everywhere
0,*?
0,hilarity ensues
0,No lol
1,Do you wish I was right there with you right now?
1,"Hey Madelyn, you have a great smile!"
1,Do you want to work together 
0,"Haha. Can relate. Well, sleep is lot something to play around with I say. It makes a world of difference."
0,OMG
1,"I wish I could spend the day running errands with you, just so I could have more time with you."
0,uni's hard like that. are you at uni as well?
0,teles?
1,"And it’s perfect because I’m also super high maintenance,  don’t understand sarcasm, and have no sense of humor"
1,Slowly up to your left ear — my voice and hot breath:
0,Let’s choose someone to hang up on no matter whT
1,Take me to the bikini barista and call it a date
1,(sometimes I squeal!)
0,The only Spotify playlist I have is “it really do be like dat”
0,"cool, what major?"
0,amateurs
0,Let’s rig one night
1,My pussy is just tooo wet..For you
0,We’ll just mix em all together and have good ol 4 loko jungle juice
1,Lets swap playlists and make assumptions about each other
1,I’m not wearing any
1,Like chocolate 🍫
0,Yeah I’m staying up here haha
1,I’m with family right now… Damn or else I would
0,doge
1,OMG FLUFFEH
1,And then I’m gonna fuck it.
0,I can barely read about politics without getying angry
0,they're beautiful
1,I'm about to get a shower.
1,My rhymes: the sickest      My ass: the thiccest
1,it's far too early 🌞
1,Rawrr… Yummy but I want more
1, your taste in everything is exquisite it matches your incredible personality 
0,haha ja'mie
0,Deal
0,are you at uni?
1,"But now I want to lay u down, and I want to feel your clit.."
1,"I am! OMG so nice. I’m on my back, knees bent."
0,Vitalis serves one purpose and it serves it well - to get fucked up
1,is there anything you cant do your skills are so impressive 
0,but that's impossible to get into
1,Moving my tongue in different motions and using my fingers to put pressure on your clit
1,But yeah u do (think she meant i here)
0,"also soy milk, but that tastes funny"
0,It's not too bad - I have work every day this week but Thursday which isnt the best but my family is on the east coast anyway so it doesnt matter much
0,glockenspiel?
0,"good news for people who like bad news, kind of the extent"
1,Hey boo
0,it's easier to do with cats
1,saying that in the least macabre way possible
0,lederhosen isn't a person
1,I choose 4 👀
1,We’ll have to practice first 👀
0,but maple syrup
0,"yes, that and throat cancer"
0,swotvac is when i get really stuck into it
0,I feel like my entire day kind of blends together cause I have nowhere to be and before I know it a full day has passed and it's not clear what I've really done
1,do you want to go out for a drink
1,Whatever you want your prize to be I can provide
0,happy to help!
1,I’m drenched.
1,Guess I win 😉
0,"*scroll down* ""Make it so there's more of my guitar and less of everyone else's shit"" - Wilson Jones"
1,"I can't wait to have you inside me while you play with my clit, ramming me so hard and making my legs shake. I want to be gasping for air while begging for more"
0,isn't it eleven herbs and spices?
1, I would love to dance with you and let you lead me to the rhythm of the music    
0,"not a lot of essay writing, really"
0,Can you tell me what FDT stands for I have been trying to figure this out for like 3 minutes and I'm dying to know
1,That soft girl playlist is the MOVE haha damn our music tastes align
0,you wouldn't know a guy called jeremy pattison would you?
0,what does gainfully mean?
1,Well you know how to turn me on
1,No live music tho sadly the budget didn’t stretch that far
1,Two matches for one swipe? Black Friday deals came early
0,high 5
1,Fuck my cock.. Aaaahhh... Fuck I climb on top and just tease the entrance to your pussy...
0,"alright, went out to dinner with my parents"
1,Push it in?
0,matt berninger's voice is 👌
0,"and i eat all other dairy products, it's just milk that gives me abdominal pain"
0,i am shit
1,I'm going to go for another load
0,Oh that’s so dope!!
0,Fuck yeah I'll go on frequent trips to goodwill with you
0,and candles smell better than electricity. i like vinyl which is basically obsolete but if you'll believe it vinyl sales and production have been at an all time high
1,your laughter is music to my ears its so infectious 
1,What's your recovery time like?
1,<burying my face between your legs>
0,safari? or chrome or whatever web browser it is?
0,We can switch back and forth
0,like do ballerinas do plays or musicals and stuff?
1,🙀
0,I have extra respect for women who message first
1,but which faculty is the best for bad jokes?
1,Were a perfect match
1,dear god no kangaroos are vicious
0,where is that et bicycle?
1,If they’re available those are the ones we’ll get 😂 god imma die tmrw
1,What? A girl saint..? That’s not right. 😉
0,such fun
1,I play with your 'head'. Then I swallow it down my throat ;)
0,our taste buds have like nothing in common
0,because
0,I too disappoint my parents
0,well.
1,Lol
0,What good traits of your balace it out?
0,but could 5 V elecrocute someone?
1,Mhmmmmm....
0,for the lols...
1,Okay dead mouse lol!!! (sent pic wearing Deadmau5 mask)
0,Imma be really happy once ppl can start hanging out in large groups again haha
0,It better be a really lit wedding
0,nice to meet you mr goat
0,yep. many splinters.
0,apparently the costumes were really itchy
0,where in canada are you from?
0,It’s whatever your chipotle order is but instead of a tortilla it’s a quesadilla
1,it was insanely crowded. did you have fun?
1,Your snap is crazy
1,😸😸😸
0,Hahaha damn it you got with me the or. Either way I was bluffing you would probably wack me at both.
0,how is that possible
1,"5' 11"" dudes could never"
1,"I will I pick you up and out you on the counter top, I spread our legs and tease you with my hard cock"
0,The top shelf is the best that’s where the best alc is kept ofc
0,rolling stones?
0,Peach <<<
1,"Shh shh just say ""Thank you, daddy"""
0,Tbh his first album is top 3 of mine lol I could listen front to back without skips
1,liquid filled record < record named liquid 😜
0,^
0,✉️
1,what do you want to photograph?
1,I'd rather spend my afternoon getting lost in your eyes.
1,"Spreading for you, baby! Oh please baby oh please eat me up!"
1,and slowly spread you open
1,I wish I could admire art with you and see the beauty of the world through your eyes    
1,Let’s have a baby
1,"plus customs would be a nightmare, can you imagine them wrangling a pegasus?"
0,booze enthusiasm
1,nice nails 💅
0,Howdy 🤠
0,i lived at college for a semester but i couldn't stand it
1,I'd still cuddle with you even if you had a million cats.
0,what are doing now? garage-banding?
1,"No, do you have a dildo or a vibrator? I want you to put it up your ass."
1,they're pretty cool...at a distance 🙊
0,I think it runs in my family - my mom is also an absurdly fast typer. Doesnt hurt that I also played piano for most of my life and spend an inordinate amount of time on my computer.
0,haha are you at uni too?
0,LMao damn it do be like dat
0,"nice, i'm volunteering this summer as well"
1,I would rather hold your hand tightly during a scary movie than watch it alone.
1,"If I'm around you, we won't have a problem making sure I'm ""well lubricated"""
1,I think so too
0,Is the last name Satan?
1,You’re pretty cute I’d definitely hold your hand in public
1,No I just bought this phone Tuesday. I lost my phone that night honey
0,good i'm currently standing in line at corner
1,Haha… That’s my twin!!! How did u know:)
0,your name's spelt funny
1,A blowjob? Not my eyes
1,Send me more pics they give me.. ideas. Lol
0,How are you?
0,Arent you supposed to be legally representing chickens not eating them?
1,Mhmmm I like it... Say dirty things to meee...
1,So is the dowry negotiable or what
0,uh maybe but y'know stranger danger
1,"I was planning on going out, but the weather is making me want to stay in with someone cute and cuddly like you."
1,"from a certain angle, it looks a little like a llama"
0,I feel that it can be hard to overcome the insecurity. Ur Killin it tho Liyana
0,Fuck yeah
0,It’s more of a manifestation than a reality unfortunately
0,"Okay I’ll be real, I’m trying to figure out which should be my first pic on my tinder. Help me decide?"
0,are you at uni or...?
0,Oh fuck next time I’ll buy off your recommendation 😂 my roommates decided they wanted 4loko tonight and tbh it may be cheap but probs not worth
0,Never a bad investment
0,You go to UChicago
1,then work my way in
1,My cock is aching though for it but I don't care..
1,I don't care
0,V is an energy drink...
1,are you american? your photos have a 'murican theme
0,tequila is the second worst alcoholic beverage imo
0,Gotta do what you gotta do
1,Can you orgasm from it?
1,Cute.
0,breaks down into its composite sugars
0,it's like an oktoberfest costume
1,Is that weird?
1,You know what I want. Send it
0,Top 3 albums of all time?
0,All good haha I’ve just been working too so pretty routine
0,What are your top three recipes? I have to diversify from only cooking spaghetti
0,Same here
1,I'd much rather spend my time working on a future with you.
1,Perfect if it means more Rose then I’m always down
1,I'd like that ;)
0,Oh that’s so cool! Miss corona needs to leave smh
0,which was funny for like a second...
1,Size doesn't matter when you're horizontal anyway
0,damn that's right 50% of the time
1,"I'm afraid, not now. ;)"
1,Know of any nursing jobs out there by any chance?
1,😹
1,haha it looks just like a rocking horse i talked my mom out of buying a while ago
0,far too many people are curious about it
0,and then i tell them
1,baby just get here so i can fuck you how you like it
1,Sooo like let's do that v soon please?
0,"mine's pretty humble too, i only started collecting about a year ago"
0,i'm just curious
1,Hey hey :) how are u
0,Hmm okay fair fair I was just a bit off. Alright my turn
0,It’s been 3 days and tbh I’m still tryna figure out the bio. What does it mean?
0,i only do it sometimes 🐶
0,"I see, at least its transparent haha"
0,how was your day?
0,i wish my grandparents had cool records
0,Kill naisha
0,Alright which flavor tho
1,Rub your clit soft and gently
0,"i am better on a miniature guitar, also known as a ukulele"
1,Anushka you stole my heart can you give it back?
1,I might be moving out there soon just gonna see if I can get a job first
1,well those sly bastards
0,"and tinder isn't for the last option, if anyone's that stupid."
1,"Hello, sweetie… what’s up?"
0,"Mine are Blonde by Frank, Harry Styles by Harry Styles, and Ctrl by SZA"
0,what kind of sound do you make?
0,he had a nasal voice
1,Snap
0,i think it was given to us by someone a really long time ago
0,Also when they have extra food from events CIT 4th floor kitchen
1,I miss your big dick in my tight wet pussy
1,What’s going on gorgeous we’re headed to a lil get together
1,nice dog
0,well russia fucked them over pretty bad 🙀
1,"I want to be thrown on my tummy with my hands behind my back, have you pull my hair while forcing me down, fucking me until I cum on your cock"
0,isn't that a canadian thingv
0,yes that makes sense now
0,Haha that’s my roommates favorite but I agree it’s kinda ass
0,i like slothing around...once semester starts i won't have much time for that 😸
1,"😂 Most frats have like a sacred pong table, paddle, etc."
0,i'd say hi
1,😿
1,"Suck my cock, please"
1,OK I’m back (dropped the phone).
0,first year biology?
0,3rd this year
0,I really like Ciroc tho
1,Licking every inch of your full left tit before taking that perky nipple into my mouth!.
1,"please, I need your cum"
0,oh god that's grisly
0,i'm well aware
0,"Yeah new york city is something you have to experience. There is really nowhere like it, at least in America. I would never want to live in there but it's fun for like two days hahaha"
0,i'm not being annoying
0,"yes it annoys me too, mine's cream so it used to happen all the time when she was a puppy"
1,Got my*
1," I wish I could read a book with you in the park, and steal a kiss every time we turn the page    "
0,unless someone passes out on the pile of kindling
0,liquid filled record...
1,"i'm in science, we like to laugh at arts kids"
1,We’ll u have fun watching the game. I’m meeting the girls for a gym session 🙂 let’s keep in touch though
1,😂 it be like dat
1,Let’s swap Spotify playlists and make assumptions about eachother
0,it's getting kind of old
0,I’m good! I got off work and passed out lol
1,The tall shelves at Costco stand no chance
0,Are you still playing violin/doing other music stuff?
0,Third
0,"nice, i'm still waiting on the sequel"
0,It’s more of a wish than a reality sadly :(
1,Hi ms nurse
1,"Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you."
0,I've always wondered what its like to be a woman on tinder
1,"you me.
2 four lokos
chuck e cheese
skeeeeeeeee ball
uh oh a couple of 8 year olds are mouthing off
should we fight em?
YOU BETCHA
a couple of roundhouse kicks later
we got all their tickets
grand prize?
ab
so
lutley
THEN
picnic, on the train tracks
ON
THE TRAIN TRACKS
two more four lokos
thats 4 four lokos
thats loco
locomotive
HERE COMES THE TRAIN
doesnt matter were done eating
chase that s**t
for
mIILEEESSSSSS
traisn too fast
cant catch it
thats ok
well sit by the highway and throw marbles at passing cars
whadya think?"
0,"um thanks, i think the word you're looking for is astute"
0,Haha hey Milena
1, i cant resist your charm and wit its so endearing 
0,thank you...?
0,bloodbuzz ohio
1,Can I see proof of your candy crush world ranking
0,"Noah sent you a special message.
Update the app to view the message."
0,hahaha freaky shoes?
0,what are you up to this hols?
0,i'm at a friend's house watching jackass 3
1,Then do it.. I want it inside..
0,then i graduate and off i trot to postgrad
1,Your kids are gonna be cute one day
1,"Take it, baby. That’s me. I’m in your ass and you feel perfect."
1,Hey you dropped this
0,UBC is kinda hype tho I’ve been around there a lil bit and it’s always great
1,Really wow? I’m In a car right now with my girls lol
0,i'm alright with memorising but i just like dissection honestly
0,but how does the beer flow through?
0,When are you going to bed then? ☺️
0,same i had to get up at 8 tonight
1,done babe.. ;)
1,I would love to read a book together with you and discuss it over a glass of wine.
1,Please throw me up against anything and everything
0,A white claw mixed with a monster energy drink really
0,british chick?
1,Thank u! U have a very nice smile
0,i did intro micro in first year (big mistake) and nearly everyone in my tute was doing that
0,I'm a professional
0,i feel that moustaches have become overhyped in pop culture
0,"path is just a major, i'm looking to go to med school afterwards. you can't qualify as a pathologist without a medical degree, but i think path leads you into research"
1,I'm giving it everything I have on my tongue... I'm sucking your clit like crazy... Mhmm...
1,Me: I may have to fuck you from behind for a while too
1,it's great much better than drinking the stuff
0,He makes me uncomfortable on tik tok
0,Your beauty is what did it
1,"um the national, jack white, charli xcx (don't laugh), karen o, jake bugg and all that jazz"
0,That's really cool and interesting!
0,This ranking is ass
1,Fuck mee sooo hard that I won't be able to walk for dayssss...
1,there's always the ikea cookbook if all else fails
0,Hey wassup
